pincode,state,district,latitude,longitude,School_Dropout_Risk_Index,Migrant_Hunger_Score,Village_Hollow_Out_Rate,Electoral_Discrepancy_Index,Skill_Gap_Migration_Flow,Governance_Risk_Score,Risk_Score,children_enrolled,adult_migration_volume,labor_activity,Primary_Sector_Concern
110055,Delhi,Central Delhi,28.6123,77.17,32.31747387715884,33.504356374852065,45.97497928396124,31.646770786041156,45.14444331332273,37.001176470588234,70,956.0,5428.0,4392.0,Rural_Hollowing
110056,Delhi,North West Delhi,28.6827222,77.1111111,35.46296296296296,19.24190314227511,32.06565888276528,26.724123996523282,23.427919672821904,27.11777777777778,30,47.0,251.0,372.0,Education
110057,Delhi,South West Delhi,28.5578889,77.15575,32.8689010989011,28.3784873659208,43.02579152462644,28.29882515549413,34.51702412409331,32.681799999999996,50,218.0,2434.0,1884.0,Rural_Hollowing
110058,Delhi,West Delhi,28.6241111,77.0793611,30.53784381718055,32.97956644401269,48.197961542204006,26.994334163717816,41.123428243841715,34.90673469387755,30,231.0,2301.0,2462.0,Rural_Hollowing
110059,Delhi,West Delhi,28.637713,77.049026,34.971537144815095,43.685646338701346,48.59569664535046,50.32931222194841,57.89276652492502,47.181603773584904,100,13257.0,105738.0,50314.0,Labor
110060,Delhi,Central Delhi,28.6367222,77.1831111,34.630906768837804,25.178401294030472,40.663354291505705,27.5418741240032,29.438559118807547,30.834597701149427,30,64.0,692.0,538.0,Rural_Hollowing
110061,Delhi,South West Delhi,28.53285,77.05162,25.975826044703595,26.70014807186573,40.347061916878516,30.430382489652988,35.577812989150644,31.310306122448978,50,473.0,1616.0,1748.0,Rural_Hollowing
110062,Delhi,South Delhi,28.51,77.23,29.170615372045525,37.2869273699592,42.16527474314376,34.52744717577638,51.34591096685338,38.51798076923077,100,3505.0,47304.0,40459.0,Labor
110063,Delhi,West Delhi,28.6735833,77.1226111,32.38636014137289,37.07914087623748,47.63131930279328,27.921417804895853,47.2956168483085,37.4771568627451,50,485.0,16569.0,7349.0,Rural_Hollowing
110064,Delhi,South West Delhi,28.6287778,77.1226111,28.938046647230323,34.19881087986582,49.852977265543394,26.894743433951724,43.75920852100343,35.58102040816327,50,213.0,3711.0,2946.0,Rural_Hollowing
110065,Delhi,South Delhi,28.5593611,77.2568056,29.55325191402581,30.909501127936515,40.627236086056556,32.599351016039854,41.00586309640006,34.537920792079206,50,732.0,3104.0,3343.0,Labor
110066,Delhi,South West Delhi,28.5653056,77.17975,34.612280701754386,19.993682883985443,33.00628554189653,28.807400783759476,25.61167557700707,28.196736842105263,30,61.0,515.0,686.0,Education
110067,Delhi,South West Delhi,28.5550833,77.1762222,31.410031488978856,29.427811112805795,44.000038145691484,31.261725903033533,36.095620703451786,33.802,50,145.0,1219.0,1106.0,Rural_Hollowing
110068,Delhi,South Delhi,28.5012222,77.2003056,29.972339902787272,34.71993155935491,49.45007660009408,27.48475242896053,42.99305024013752,35.826100000000004,50,299.0,3596.0,2305.0,Rural_Hollowing
110069,Delhi,Central Delhi,28.6225833,77.2127222,0.0,7.0181569517924665,10.852264610059644,24.445012282729266,9.573972228836247,11.06,0,0.0,0.0,0.0,Electoral
110070,Delhi,South West Delhi,28.534162,77.152685,32.608193891591725,33.718154919189516,46.22652024182168,32.93238967321552,42.777493423077594,36.9878,50,614.0,5797.0,2779.0,Rural_Hollowing
110071,Delhi,South West Delhi,28.546186,76.990187,32.51652241463387,29.727508522413803,41.18582683384342,28.043347726098045,39.696884716568036,33.5773,50,329.0,3568.0,3327.0,Rural_Hollowing
110072,Delhi,South West Delhi,28.652588,76.956454,34.2306653157717,25.2548260110408,38.17583189372736,27.423735686984585,30.759606581976115,30.630744680851063,50,113.0,1115.0,1038.0,Rural_Hollowing
110073,Delhi,South West Delhi,25.890679,83.367586,30.20530703864037,27.380016591671538,42.43634207258745,26.86925470697169,34.62514973948366,31.525151515151514,30,131.0,891.0,1694.0,Rural_Hollowing
110074,Delhi,South Delhi,28.5073055,77.1845555,29.837832570533287,36.597006976648856,46.21803723401587,30.22500745522678,49.085877474694094,37.59320388349514,50,1089.0,12021.0,7786.0,Labor
110075,Delhi,South West Delhi,28.6068611,77.0415278,33.99036008560791,36.31740651252751,49.01784027732711,27.354401493154075,45.68014111395325,37.38902912621359,50,363.0,8813.0,3166.0,Rural_Hollowing
110076,Delhi,South Delhi,28.53,77.3,28.409908165264923,34.83160340846774,44.03849102875428,27.252248653435114,46.494418085133155,35.365809523809524,50,718.0,9845.0,11028.0,Labor
110077,Delhi,South West Delhi,28.5748056,77.0787222,34.272665084084316,36.2181508148951,48.21476862500889,27.860007207922777,46.987400514136866,37.692884615384614,50,737.0,10988.0,4858.0,Rural_Hollowing
110078,Delhi,South West Delhi,28.6102222,77.0376667,31.393439128270938,35.32622975497273,45.27918333405879,27.897363814596023,46.057119449146775,36.32168316831683,50,593.0,7017.0,4331.0,Labor
110080,Delhi,South Delhi,28.5,77.24,30.255967743094352,35.885410438239866,46.27000979086472,26.68991024191294,44.9799487274424,35.83704081632653,50,506.0,4705.0,2466.0,Rural_Hollowing
110081,Delhi,North West Delhi,28.7349166,77.0055555,28.299427809136347,33.96483859074591,41.52959478354583,28.225856750601427,46.1628729255539,34.97145631067961,80,811.0,4774.0,11027.0,Labor
110082,Delhi,North West Delhi,28.7721666,77.119,30.34522526766066,28.607975933981056,39.298289245207414,27.680686787500075,40.68083185727643,32.7421,50,349.0,2040.0,4264.0,Labor
110083,Delhi,North West Delhi,28.7147778,77.0878333,29.62612219038622,31.550696754302393,41.23072129664394,27.110517471392317,45.257971087872214,34.24951456310679,50,559.0,8435.0,16999.0,Labor
110084,Delhi,North Delhi,28.722239,77.221819,32.76946951726021,41.13460065892421,49.12264094720088,28.32233561697168,54.22457040330507,40.075339805825244,80,1643.0,45560.0,20925.0,Labor
110085,Delhi,North West Delhi,28.7168889,77.1380556,32.979034414059164,38.36309184337579,48.71505020980353,31.627866879335386,52.252650827173554,39.933592233009705,50,3517.0,41585.0,23013.0,Labor
110086,Delhi,North West Delhi,28.7016111,77.0797222,33.523983544636586,41.759148137746706,47.2744709781006,45.51734032205417,56.23093391038073,44.77405660377359,70,3562.0,49638.0,42874.0,Labor
110087,Delhi,West Delhi,28.679745,77.092689,29.607715813598166,31.774886262484994,44.06923466976123,27.090439187992775,41.74909933484349,34.00921568627451,50,262.0,6175.0,4824.0,Rural_Hollowing
110088,Delhi,North West Delhi,28.6933611,77.17138889999998,29.09334233936535,33.998889140800046,42.49687430515598,28.50936101345641,45.32568029093305,35.18534653465346,50,512.0,8424.0,8042.0,Labor
110089,Delhi,North West Delhi,28.7348056,77.1325,28.975072122596874,32.088616543732044,45.797232014525726,26.02917069857085,44.270016007251364,34.443366336633666,50,280.0,4210.0,5159.0,Rural_Hollowing
110090,Delhi,North East Delhi,28.69225,77.3042222,50.390625,15.011130542835655,24.69167228052244,26.632512282729266,16.34482215268623,26.71046875,30,13.0,65.0,39.0,Education
110091,Delhi,East Delhi,28.6146944,77.3178056,32.52236100368927,40.93671971375087,48.88728571050807,35.81103225839554,53.01404768266631,41.58077669902912,100,3536.0,38339.0,23019.0,Labor
110092,Delhi,East Delhi,28.627,77.2850278,31.526541261395,40.92058758541426,48.86577115988068,42.77805413803392,54.52925739749943,43.419333333333334,80,8235.0,57900.0,26401.0,Labor
110093,Delhi,North East,28.702185,77.30501,33.65665276869151,44.14453825759744,50.26597541573644,27.773589739973392,57.15362150388836,41.47523809523809,50,1859.0,26363.0,30769.0,Labor
110094,Delhi,North East,28.7039444,77.2833056,34.40020201603938,50.20387500686209,51.272552551552245,37.696397931719666,63.650761557703625,46.766132075471695,100,12158.0,86915.0,63247.0,Labor
110095,Delhi,East Delhi,28.6794722,77.3086944,34.32835161370437,38.286877549175884,46.39805041520638,27.9875824028795,51.925251407048954,38.864854368932036,80,1541.0,10535.0,13355.0,Labor
110096,Delhi,East Delhi,28.596722,77.312114,35.24155719797711,40.156681661241265,50.564770287968024,26.750110853723985,52.140971860918036,39.77980392156863,50,1098.0,26555.0,10621.0,Labor
121001,Haryana,Faridabad,28.3917778,77.3021389,32.11536398953089,38.08284177933948,47.1609162222554,28.519119648347164,51.33081569552086,38.50941176470588,80,3982.0,25905.0,12653.0,Labor
121002,Haryana,Faridabad,28.7080833,77.2719167,33.237499250874315,38.19165108760609,48.16368875768718,28.49112087988422,50.38509247272153,38.71038834951457,50,1956.0,14628.0,8116.0,Labor
121003,Haryana,Faridabad,28.463698,77.333878,31.131158762092568,38.62707481258752,48.28446720909632,33.534070118543326,50.13953827718378,39.60601941747573,50,1811.0,14521.0,8846.0,Labor
121004,Haryana,Faridabad,24.95972,75.593164,34.56268435827844,44.079714047229444,47.718961298100034,52.36226631918293,57.26794580803728,47.430373831775704,100,12803.0,59929.0,29936.0,Labor
121005,Haryana,Faridabad,28.3917778,77.3021389,33.72648282322577,38.145394423471245,47.07234119307302,26.9827962080397,50.129105388242536,38.206862745098036,50,960.0,16908.0,8385.0,Labor
121006,Haryana,Faridabad,28.3720518,77.3321204,28.308354978354977,33.04072145789898,47.00819359671996,26.550115713182304,41.56678657088267,34.2721,50,279.0,3439.0,2415.0,Rural_Hollowing
121007,Haryana,Faridabad,28.395403,77.315292,28.186103012633627,25.809375532224934,39.141910886182885,28.62737670840871,30.54733333752101,29.937346938775512,30,112.0,1158.0,930.0,Rural_Hollowing
121008,Haryana,Faridabad,28.3917778,77.3021389,24.753461668355282,24.326840052434978,39.555956694312954,26.622815368850713,29.824784003501264,28.370425531914897,30,78.0,940.0,888.0,Rural_Hollowing
121009,Haryana,Faridabad,28.4881111,77.2945833,27.470238095238095,26.236399418094813,40.51653388929864,26.543347726098045,35.25222445163276,30.5051,30,155.0,1265.0,1531.0,Rural_Hollowing
121010,Haryana,Faridabad,28.5821389,77.9790278,31.66151202749141,27.547794158808017,43.17678945843615,30.424393726028235,32.02552117107147,32.329690721649484,80,112.0,1504.0,745.0,Rural_Hollowing
121012,Haryana,Faridabad,28.3917778,77.3021389,39.97916666666667,17.91595912725837,29.901766331964716,26.445012282729266,18.953941797866346,26.465750000000003,30,11.0,170.0,74.0,Education
121013,Haryana,Faridabad,28.3917778,77.3021389,25.7865994549668,28.087428919637752,42.395878521217945,26.28174697660682,36.91991562149591,31.088061224489795,30,175.0,1402.0,1685.0,Rural_Hollowing
121014,Haryana,Faridabad,28.4726,77.4848,64.65116279069767,17.11162089753534,29.79363151055894,25.84036111993857,17.51174628415195,30.783255813953488,30,6.0,70.0,10.0,Education
121101,Haryana,Faridabad,28.379904,77.435774,27.440513871018904,34.59276724252244,45.57567961531537,34.858211123080885,45.3952985651759,37.0365625,50,412.0,5163.0,4237.0,Rural_Hollowing
121102,Haryana,Faridabad,28.1087,77.256172,29.47994317943126,40.02760900657926,46.83651980259902,33.565662575844144,53.497961702377424,40.018252427184464,50,2372.0,27417.0,17743.0,Labor
121103,Haryana,Palwal,28.0511,77.270687,31.02949169074313,38.931091884422536,44.78639801275145,26.580934612826354,50.743014174826065,37.504174757281554,50,1930.0,17276.0,8795.0,Labor
121105,Haryana,Palwal,28.03681,77.375197,31.08804311615136,35.28602991991544,44.17063155877417,27.092147183683426,46.3514058353127,35.9437,50,674.0,7035.0,4394.0,Labor
121106,Haryana,Palwal,27.933371,77.351106,30.85432108982861,36.38863729912935,44.08981971700716,26.742155693356427,48.19266607817972,36.386224489795914,80,903.0,6138.0,4879.0,Labor
121107,Haryana,Palwal,28.034715,77.489556,32.426089229885186,33.191530146320915,42.67866734995204,26.678021991467133,43.562010374563336,34.907184466019416,50,549.0,4677.0,3087.0,Labor
122001,Haryana,Gurgaon,28.4596111,77.0672778,32.48072809283041,40.304097865822214,48.823090369527215,52.169313890034246,53.299169481199534,45.5827619047619,100,5071.0,36378.0,13330.0,Labor
122002,Haryana,Gurgaon,28.466093,77.1058349,34.93634336045444,33.19274158952601,43.71098767667734,32.54426704190922,40.56020684330778,36.430808080808085,50,759.0,8912.0,2053.0,Rural_Hollowing
122003,Haryana,Gurgaon,28.4465007,77.073616,31.42181162423377,33.143545295674265,47.12280554321001,26.802847790606144,40.467055093105174,34.775588235294116,50,279.0,3129.0,1409.0,Rural_Hollowing
122004,Haryana,Gurgaon,28.413887,76.9931945,34.87765391445977,35.142737457905426,49.425418967767754,28.649891789048823,42.77160040256463,37.134752475247524,100,525.0,6751.0,1918.0,Rural_Hollowing
122005,Haryana,Gurgaon,28.5056111,77.0710556,66.17021276595744,17.015011977529916,28.9598853142398,27.107141096377386,16.848211883968396,31.126595744680852,30,12.0,66.0,12.0,Education
122006,Haryana,Gurgaon,28.4855613,77.009056,33.37081168831169,30.030855783916888,44.12155987757923,29.092147183683426,35.664886696904055,33.704699999999995,50,185.0,2689.0,932.0,Rural_Hollowing
122007,Haryana,Gurgaon,28.462,77.0316389,49.0625,13.103437167887197,22.795913596952257,25.070012282729266,15.111834812535934,25.1428125,30,0.0,30.0,9.0,Education
122008,Haryana,Gurgaon,28.462,77.0316389,66.04166666666667,16.206408833402055,27.759140421890944,26.2098766597171,17.070203020738358,30.578958333333333,30,8.0,64.0,13.0,Education
122009,Haryana,Gurgaon,28.3408889,76.7561944,36.244791666666664,26.657748469982327,44.898943336837156,29.345356512508257,29.835460579359594,32.61895833333333,50,50.0,1278.0,494.0,Rural_Hollowing
122010,Haryana,Gurgaon,28.466093,77.1058349,63.125,17.359940175102523,32.21673520825055,25.957753177290268,18.112695181735443,31.040714285714284,30,7.0,109.0,14.0,Education
122011,Haryana,Gurgaon,28.462,77.0316389,31.714262187088273,28.500564741686464,46.7497840517175,26.889439055872344,32.22931971682937,32.22315217391304,30,93.0,1378.0,514.0,Rural_Hollowing
122015,Haryana,Gurgaon,28.4973611,77.0630556,36.37992831541219,23.24137256837773,39.57550782758207,27.18386701493804,26.239981406210298,29.905161290322578,50,54.0,569.0,340.0,Rural_Hollowing
122016,Haryana,Gurgaon,28.4965833,77.0852778,29.322344322344325,21.212553119700914,35.700337782234264,27.84530876834281,25.008927945214555,27.425604395604395,45,30.0,307.0,323.0,Rural_Hollowing
122017,Haryana,Gurgaon,28.462,77.0316389,36.648806193806195,37.04284799614386,51.19565371414634,27.884752428960528,43.07625063155878,38.0043,80,319.0,6434.0,1824.0,Rural_Hollowing
122018,Haryana,Gurgaon,0.0,0.0,37.77325711581767,31.6430044923372,47.731584133307784,27.243115141092822,36.55087733292431,35.163823529411765,50,209.0,3387.0,984.0,Rural_Hollowing
122051,Haryana,Gurgaon,28.342,76.9365278,35.201459034792364,21.59626190531918,35.339071433059,27.0178758190466,25.951834642675735,28.605757575757575,30,89.0,409.0,487.0,Rural_Hollowing
122052,Haryana,Gurgaon,28.342,76.9364722,50.06578947368421,19.393725545723328,34.56210916331033,26.28711754588716,20.46362748714952,29.74105263157895,30,12.0,184.0,69.0,Education
122098,Haryana,Gurgaon,28.3913822,77.0511932,70.2127659574468,17.027624309733596,30.46930788077851,26.247426965610458,16.77667945826745,31.933829787234046,30,4.0,72.0,2.0,Education
122101,Haryana,Gurgaon,28.3913822,77.0511932,36.45678398879091,35.068354672248184,49.46658804991162,28.507566976544677,42.979426926671316,37.44754901960784,50,327.0,7920.0,2798.0,Rural_Hollowing
122102,Haryana,Gurgaon,28.352169,77.06471,36.01429526355997,32.2420342290337,45.72954068980737,30.283551160616287,39.68709712357645,36.0194,30,347.0,2084.0,1752.0,Rural_Hollowing
122103,Haryana,Gurgaon,28.248459,77.065802,28.854542959375607,40.13842595455191,47.92338259747983,36.999447183239326,52.01544482177602,40.639607843137256,50,1553.0,10577.0,5484.0,Labor
122104,Haryana,Mewat,27.7781944,76.9451944,26.879297395382032,33.54332797796545,39.85105700477679,26.988414049306055,45.35964349966175,33.881764705882354,50,939.0,6224.0,4604.0,Labor
122105,Haryana,Gurgaon,28.3308889,76.7835833,30.03452986939721,37.81416927517379,50.19665747155808,34.24501228272927,50.28273417037859,39.7173,80,666.0,5093.0,5691.0,Labor
122107,Haryana,Mewat,28.1020556,76.0044722,26.680581880973662,39.431868356558,45.335728450685636,34.84105188668966,51.73528951769696,39.08,50,1422.0,8997.0,6518.0,Labor
122108,Haryana,Mewat,27.9204,76.984468,28.710879188644277,37.435234155859995,44.99776808581069,27.098168043997145,49.43641614351338,36.6411,50,1480.0,8392.0,6160.0,Labor
122413,Haryana,Gurgaon,29.387631,77.44642899999998,29.48745879076169,27.701144876945744,42.315921728549256,26.28174697660682,36.471342698398345,31.64938775510204,50,197.0,1655.0,1777.0,Rural_Hollowing
122414,Haryana,Gurgaon,28.271733,76.740867,28.00530372405372,25.43427136749655,41.144566949101694,26.424178949395934,32.67670851167004,30.00135416666667,50,120.0,752.0,1060.0,Rural_Hollowing
122502,Haryana,Gurgaon,28.292981,76.697254,27.89551197581583,25.819554939581405,41.64887457558562,26.30068238582205,33.86541474290326,30.33835051546392,30,150.0,855.0,1212.0,Rural_Hollowing
122503,Haryana,Gurgaon,28.325728,76.777811,26.728749191984488,28.539538785451985,39.75313093447469,27.882512282729266,37.27908561057457,31.442604166666666,50,263.0,2593.0,2033.0,Rural_Hollowing
122504,Haryana,Gurgaon,28.467015,77.081198,27.807878779217315,25.926806797356125,39.30992098685659,26.383787792933347,33.9014761793749,30.019591836734694,30,178.0,905.0,1123.0,Rural_Hollowing
