pincode,state,district,latitude,longitude,total_enrolment,total_demographic,total_biometric,spike_count,ever_influx_risk,ever_ghost_risk,mass_migration_days,max_risk_score,pincode_risk_level
121105,Haryana,Palwal,28.03681,77.375197,675.0,7867.0,9190.0,12,0,0,4,50,Medium
121106,Haryana,Palwal,27.933371,77.351106,905.0,6970.0,9955.0,10,0,0,2,80,Critical
121107,Haryana,Palwal,28.034715,77.489556,549.0,5346.0,6430.0,10,1,0,3,50,Medium
122001,Haryana,Gurgaon,28.4596111,77.0672778,5241.0,41325.0,27290.0,9,1,0,5,100,Critical
122002,Haryana,Gurgaon,28.466093,77.1058349,918.0,9798.0,3633.0,10,0,0,4,50,Medium
122003,Haryana,Gurgaon,28.4465007,77.073616,290.0,3444.0,2708.0,7,0,0,1,50,Medium
122004,Haryana,Gurgaon,28.413887,76.9931945,540.0,7582.0,3884.0,6,1,1,3,100,Critical
122005,Haryana,Gurgaon,28.5056111,77.0710556,14.0,75.0,21.0,5,0,0,0,30,Medium
122006,Haryana,Gurgaon,28.4855613,77.009056,186.0,2995.0,1770.0,10,1,0,1,50,Medium
122007,Haryana,Gurgaon,28.462,77.0316389,0.0,31.0,22.0,1,0,0,0,30,Medium
122008,Haryana,Gurgaon,28.462,77.0316389,9.0,68.0,17.0,3,0,0,0,30,Medium
122009,Haryana,Gurgaon,28.3408889,76.7561944,74.0,1371.0,875.0,8,1,0,1,50,Medium
122010,Haryana,Gurgaon,28.466093,77.1058349,8.0,118.0,27.0,3,0,0,0,30,Medium
122011,Haryana,Gurgaon,28.462,77.0316389,108.0,1516.0,1142.0,5,0,0,0,30,Medium
122015,Haryana,Gurgaon,28.4973611,77.0630556,55.0,628.0,694.0,10,1,1,0,50,Medium
122016,Haryana,Gurgaon,28.4965833,77.0852778,32.0,340.0,612.0,13,0,1,0,45,Medium
122017,Haryana,Gurgaon,28.462,77.0316389,325.0,7212.0,3592.0,11,0,0,2,80,Critical
122018,Haryana,Gurgaon,0.0,0.0,220.0,3838.0,2008.0,8,0,1,2,50,Medium
122051,Haryana,Gurgaon,28.342,76.9365278,90.0,447.0,934.0,10,1,0,0,30,Medium
122052,Haryana,Gurgaon,28.342,76.9364722,12.0,199.0,136.0,7,0,0,0,30,Medium
122098,Haryana,Gurgaon,28.3913822,77.0511932,5.0,79.0,4.0,3,0,0,0,30,Medium
122101,Haryana,Gurgaon,28.3913822,77.0511932,334.0,8966.0,4859.0,7,1,1,3,50,Medium
122102,Haryana,Gurgaon,28.352169,77.06471,361.0,2401.0,3573.0,9,1,0,0,30,Medium
122103,Haryana,Gurgaon,28.248459,77.065802,1565.0,11992.0,12687.0,9,1,0,4,50,Medium
122104,Haryana,Mewat,27.7781944,76.9451944,941.0,6877.0,10808.0,9,1,0,2,50,Medium
122105,Haryana,Mewat,28.3308889,76.7835833,666.0,5678.0,12075.0,10,1,1,1,80,Critical
122107,Haryana,Mewat,28.1020556,76.0044722,1422.0,10101.0,14632.0,9,1,1,3,50,Medium
122108,Haryana,Mewat,27.9204,76.984468,1498.0,9252.0,13193.0,8,1,1,2,50,Medium
122413,Haryana,Gurgaon,29.387631,77.44642899999998,197.0,1913.0,3264.0,9,0,0,1,50,Medium
122414,Haryana,Gurgaon,28.271733,76.740867,120.0,850.0,2130.0,8,1,0,0,50,Medium
122502,Haryana,Gurgaon,28.292981,76.697254,150.0,998.0,2495.0,9,0,0,0,30,Medium
122503,Haryana,Gurgaon,28.325728,76.777811,263.0,2946.0,4591.0,12,1,0,2,50,Medium
122504,Haryana,Gurgaon,28.467015,77.081198,178.0,1023.0,2303.0,8,1,0,0,30,Medium
122505,Haryana,Gurgaon,28.4384722,76.9354444,414.0,11092.0,4934.0,8,1,1,4,50,Medium
122506,Haryana,Gurgaon,28.446796,76.825692,241.0,2776.0,3257.0,8,0,0,1,50,Medium
122508,Haryana,Mewat,27.8635,77.2030833,6642.0,34690.0,34461.0,7,1,0,6,80,Critical
123001,Haryana,Mahendragarh,28.044064,76.118082,1012.0,10479.0,16380.0,9,1,0,3,50,Medium
123021,Haryana,Mahendragarh,28.100932,76.253154,386.0,5133.0,7283.0,10,1,0,4,50,Medium
123023,Haryana,Mahendragarh,27.892541,76.110493,529.0,2831.0,7375.0,8,1,1,1,50,Medium
123024,Haryana,Mahendragarh,28.378752,75.96466,197.0,1329.0,4017.0,9,1,0,1,50,Medium
123027,Haryana,Mahendragarh,28.336368,76.306545,408.0,3817.0,6245.0,11,1,0,2,50,Medium
123028,Haryana,Mahendragarh,28.191762,76.130587,140.0,598.0,1955.0,8,1,0,0,30,Medium
123029,Haryana,Mahendragarh,28.2653333,76.1439444,477.0,4753.0,9605.0,10,1,1,3,50,Medium
123034,Haryana,Mahendragarh,28.258604,76.227683,205.0,1024.0,3672.0,9,0,0,0,30,Medium
123035,Haryana,Rewari,28.3561667,76.62175,142.0,637.0,2245.0,11,1,0,0,50,Medium
123101,Haryana,Rewari,28.209,76.8841111,115.0,1742.0,3037.0,10,1,0,1,80,Critical
123102,Haryana,Rewari,28.1501944,76.3992778,121.0,745.0,2790.0,6,1,0,0,30,Medium
123103,Haryana,Rewari,28.1728056,76.402,109.0,538.0,1635.0,11,0,0,0,30,Medium
123106,Haryana,Rewari,28.2306667,76.80025,253.0,5713.0,5340.0,13,1,0,3,50,Medium
123110,Haryana,Rewari,28.2335556,77.8032778,31.0,256.0,661.0,9,0,0,0,30,Medium
123301,Haryana,Rewari,28.3571944,76.5355,94.0,725.0,1437.0,7,1,1,0,30,Medium
123302,Haryana,Rewari,28.4002222,76.4839167,174.0,1105.0,3145.0,10,1,1,0,50,Medium
123303,Haryana,Rewari,28.4120556,76.398,191.0,1303.0,3532.0,16,1,0,0,50,Medium
123304,Haryana,Rewari,28.409434,76.397007,0.0,16.0,0.0,1,0,0,0,30,Medium
123401,Haryana,Rewari,28.202722,76.616953,1110.0,24755.0,25773.0,11,1,0,4,50,Medium
123411,Haryana,Rewari,28.2938611,76.3839722,307.0,3071.0,5053.0,8,1,1,1,50,Medium
123412,Haryana,Rewari,28.2017222,76.5955833,83.0,459.0,1138.0,13,0,0,0,30,Medium
123501,Haryana,Rewari,28.0733889,76.5809722,378.0,3953.0,5517.0,10,0,0,1,50,Medium
124001,Haryana,Rohtak,28.681179,76.510506,2047.0,14284.0,35483.0,9,0,0,4,80,Critical
124021,Haryana,Jhajjar,28.452977,76.378498,181.0,679.0,3778.0,8,1,0,0,50,Medium
124022,Haryana,Rohtak,28.671593,76.748085,71.0,211.0,1720.0,11,0,0,0,30,Medium
124102,Haryana,Jhajjar,28.759966,76.931763,132.0,353.0,1996.0,10,0,0,0,30,Medium
124103,Haryana,Jhajjar,28.728528,76.554108,553.0,6015.0,11122.0,10,1,0,2,80,Critical
124104,Haryana,Jhajjar,28.735904,76.510506,118.0,469.0,1892.0,10,0,0,0,30,Medium
124105,Haryana,Jhajjar,28.513312,76.866875,177.0,1250.0,2790.0,11,1,1,0,50,Medium
124106,Haryana,Jhajjar,28.735904,76.510506,178.0,1076.0,4505.0,8,1,0,0,50,Medium
124107,Haryana,Jhajjar,28.634988,76.823959,144.0,571.0,2370.0,10,0,0,0,30,Medium
124108,Haryana,Jhajjar,28.735904,76.510506,255.0,1040.0,2978.0,8,0,1,0,30,Medium
124109,Haryana,Jhajjar,28.503525,76.599255,166.0,628.0,3295.0,8,0,0,0,30,Medium
124111,Haryana,Rohtak,28.735904,76.510506,162.0,793.0,3774.0,10,0,0,0,30,Medium
124112,Haryana,Rohtak,28.735904,76.620026,407.0,2822.0,10443.0,8,1,0,1,50,Medium
124113,Haryana,Rohtak,28.54651,76.683197,169.0,1154.0,5296.0,10,1,0,0,30,Medium
124142,Haryana,Jhajjar,28.502149,76.345367,72.0,643.0,1434.0,10,1,0,0,50,Medium
124146,Haryana,Jhajjar,28.671593,76.748085,103.0,572.0,3077.0,10,1,1,0,50,Medium
124201,Haryana,Jhajjar,28.603946,76.75272,103.0,188.0,3315.0,9,1,0,0,50,Medium
124202,Haryana,Jhajjar,28.728528,76.437206,126.0,274.0,2695.0,10,1,0,0,30,Medium
124303,Haryana,Rohtak,28.681179,76.510506,155.0,831.0,3488.0,7,0,0,0,30,Medium
124401,Haryana,Rohtak,28.503525,76.599255,203.0,1038.0,4165.0,11,1,1,0,50,Medium
124404,Haryana,Jhajjar,28.634988,76.823959,45.0,193.0,876.0,11,0,0,0,30,Medium
124406,Haryana,Rohtak,28.735904,76.510506,79.0,451.0,1072.0,6,0,0,0,30,Medium
124411,Haryana,Rohtak,28.452977,76.378498,108.0,251.0,2347.0,13,0,0,0,30,Medium
124412,Haryana,Jhajjar,28.7615556,76.4896389,104.0,377.0,2583.0,14,1,0,0,50,Medium
124501,Haryana,Jhajjar,28.634988,76.823959,422.0,2717.0,7381.0,11,0,0,1,50,Medium
124504,Haryana,Jhajjar,28.655326,76.753407,65.0,259.0,994.0,12,1,1,0,50,Medium
124505,Haryana,Jhajjar,28.781163,76.864815,105.0,705.0,1941.0,9,0,0,0,30,Medium
124506,Haryana,Jhajjar,28.681179,76.902704,31.0,167.0,811.0,8,0,0,0,30,Medium
124507,Haryana,Jhajjar,28.681179,76.902704,968.0,18911.0,18511.0,9,1,0,4,50,Medium
124513,Haryana,Rohtak,29.0100277,76.3781722,60.0,229.0,1134.0,11,0,1,0,30,Medium
124514,Haryana,Rohtak,28.648679,76.532478,248.0,1567.0,5577.0,10,0,0,0,30,Medium
125001,Haryana,Hisar,29.1704916,75.7332805,2123.0,17351.0,37874.0,9,1,0,3,80,Critical
125004,Haryana,Hisar,29.1497222,75.70825,162.0,1013.0,3516.0,8,0,0,0,30,Medium
125005,Haryana,Hisar,29.1323056,75.7426111,128.0,735.0,2192.0,12,0,0,0,30,Medium
125006,Haryana,Hisar,29.1123472,75.8183777,123.0,395.0,1720.0,12,0,0,0,30,Medium
125011,Haryana,Hisar,29.191513,75.695714,0.0,0.0,1.0,0,0,0,0,0,No Risk
125033,Haryana,Hisar,29.0977222,75.9688055,908.0,14267.0,25714.0,8,1,1,4,50,Medium
125037,Haryana,Hisar,28.9448611,75.8261241,43.0,252.0,1149.0,10,0,0,0,30,Medium
125038,Haryana,Hisar,29.1898901,76.2245833,102.0,870.0,2248.0,9,0,0,0,30,Medium
125039,Haryana,Hisar,29.2246111,76.1387501,425.0,6908.0,12028.0,11,1,0,4,50,Medium
125042,Haryana,Hisar,29.1086944,75.5512778,235.0,1435.0,5405.0,12,1,0,1,50,Medium
125044,Haryana,Hisar,29.1288333,75.7844722,195.0,1738.0,3682.0,10,0,0,1,50,Medium
125047,Haryana,Fatehabad,29.4165833,75.6266667,351.0,1826.0,5311.0,12,0,0,0,30,Medium
125048,Haryana,Fatehabad,29.4165833,75.5486667,161.0,565.0,3982.0,8,1,0,0,30,Medium
125049,Haryana,Hisar,29.1594444,75.5701277,170.0,1111.0,3143.0,13,0,0,0,30,Medium
125050,Haryana,Fatehabad,29.508192,75.4535162,829.0,14620.0,23594.0,12,1,1,4,50,Medium
125051,Haryana,Fatehabad,29.6853055,75.5762777,650.0,12593.0,21039.0,17,1,0,4,50,Medium
125052,Haryana,Hisar,28.2817778,75.4726389,502.0,6503.0,14633.0,11,1,0,4,50,Medium
125053,Haryana,Fatehabad,29.378824,75.031852,305.0,2696.0,7744.0,13,0,0,1,50,Medium
125054,Haryana,Sirsa,29.5461389,75.2148333,74.0,472.0,1463.0,7,0,0,0,30,Medium
125055,Haryana,Sirsa,29.5347778,75.0320833,1370.0,23258.0,40047.0,11,1,0,5,50,Medium
125058,Haryana,Sirsa,29.4503056,75.1193333,41.0,526.0,1625.0,11,0,0,0,30,Medium
125060,Haryana,Sirsa,29.5457222,75.1141111,145.0,1696.0,3915.0,10,0,0,1,50,Medium
125075,Haryana,Sirsa,29.5275278,74.7394722,267.0,2098.0,5872.0,12,1,0,0,30,Medium
125076,Haryana,Sirsa,29.5235833,74.8406389,225.0,1862.0,5848.0,6,0,0,0,30,Medium
125077,Haryana,Sirsa,29.7654167,74.8992778,222.0,2535.0,5590.0,9,1,0,1,50,Medium
125078,Haryana,Sirsa,29.6993611,75.0066389,235.0,1762.0,4579.0,12,0,0,0,30,Medium
125101,Haryana,Sirsa,29.7802222,74.5243056,106.0,422.0,1922.0,13,0,0,0,30,Medium
125102,Haryana,Sirsa,29.4490833,74.6628611,330.0,5538.0,10423.0,8,1,1,3,50,Medium
125103,Haryana,Sirsa,29.78325,74.7477222,256.0,2422.0,5281.0,11,1,0,0,50,Medium
125104,Haryana,Sirsa,29.9591389,74.6981111,483.0,8048.0,12565.0,9,1,1,4,65,High
125106,Haryana,Fatehabad,29.6745555,75.7301111,226.0,1209.0,5928.0,9,0,0,1,50,Medium
125110,Haryana,Sirsa,29.3710278,75.1261389,357.0,2573.0,8370.0,8,1,0,1,50,Medium
125111,Haryana,Fatehabad,29.2100833,75.7090278,433.0,5624.0,7531.0,9,0,0,4,50,Medium
125112,Haryana,Fatehabad,29.5743333,75.7863055,192.0,1657.0,3858.0,11,0,0,1,50,Medium
125113,Haryana,Fatehabad,29.5065833,76.3382222,416.0,1771.0,7104.0,8,1,1,0,50,Medium
125120,Haryana,Fatehabad,29.7208611,75.9025277,537.0,4523.0,11766.0,11,1,1,4,50,Medium
125121,Haryana,Hisar,29.356295,74.079947,599.0,8456.0,18223.0,9,1,1,4,50,Medium
125133,Haryana,Fatehabad,29.8089722,75.82325,116.0,725.0,5146.0,9,0,0,0,30,Medium
125201,Haryana,Sirsa,29.82675,74.9754167,302.0,3914.0,10866.0,10,1,0,2,50,Medium
126101,Haryana,Jind,33.3,25.3,390.0,5132.0,6588.0,9,1,0,3,50,Medium
126102,Haryana,Jind,29.3,29.2,1362.0,12979.0,27794.0,13,1,0,3,50,Medium
126110,Haryana,Jind,29.376,76.4505,108.0,678.0,2092.0,10,0,0,0,30,Medium
126111,Haryana,Jind,23.36,36.32,195.0,624.0,2712.0,17,1,0,0,30,Medium
126112,Haryana,Jind,37.73,33.36,502.0,4775.0,15211.0,15,1,0,4,50,Medium
126113,Haryana,Jind,29.3533056,76.4974722,244.0,1755.0,4686.0,11,1,0,1,50,Medium
126114,Haryana,Jind,29.5902777,76.1099166,294.0,1134.0,5193.0,13,0,0,0,30,Medium
126115,Haryana,Jind,26.02,26.02,454.0,3877.0,10290.0,13,1,0,2,80,Critical
126116,Haryana,Jind,25.3,25.3,999.0,10808.0,25776.0,9,0,0,4,50,Medium
126125,Haryana,Jind,33.3,25.3,229.0,1633.0,6259.0,8,0,0,1,50,Medium
126152,Haryana,Jind,29.5902777,76.1099166,203.0,1935.0,5320.0,14,0,0,1,80,Critical
127021,Haryana,Bhiwani,28.7752,75.9928,950.0,9226.0,23775.0,5,1,1,3,65,High
127022,Haryana,Bhiwani,28.4614,76.2609,107.0,1095.0,1622.0,11,0,1,0,30,Medium
127025,Haryana,Bhiwani,28.7784,76.3418,69.0,625.0,1912.0,8,1,0,0,50,Medium
127026,Haryana,Bhiwani,28.5997,76.1517,176.0,957.0,2541.0,8,1,0,0,30,Medium
127027,Haryana,Bhiwani,28.8837,76.2392,93.0,511.0,2284.0,11,1,0,0,50,Medium
127028,Haryana,Bhiwani,28.6296,75.6179,199.0,906.0,3381.0,5,1,0,0,30,Medium
127029,Haryana,Bhiwani,28.6995,75.8708,95.0,713.0,3361.0,9,0,0,0,30,Medium
127030,Haryana,Bhiwani,28.6358,75.9434,164.0,1535.0,3219.0,14,0,0,0,30,Medium
127031,Haryana,Bhiwani,28.862,76.1407,186.0,1503.0,5919.0,6,1,0,0,50,Medium
127032,Haryana,Bhiwani,28.9449,76.0334,278.0,1261.0,6604.0,9,1,1,0,65,High
127035,Haryana,Bhiwani,28.9639,75.9565,153.0,498.0,2542.0,9,0,0,0,30,Medium
127040,Haryana,Bhiwani,28.8725,75.9144,375.0,2279.0,8847.0,10,1,0,1,50,Medium
